Word,Level
두렵다,3
둘러보다,3
뒤통수,3
뒷부분,3
드라마,3
들르다,3
듬뿍,3
떨리다,3
뛰어나다,3
마,3
말싸움,3
말씀드리다,3
말장난,3
말투,3
맑다,3
맞다,3
맞추다,3
맨손,3
멋,3
목숨,3
못,3
몽둥이,3
무게,3
무시무시하다,3
무시하다,3
무척,3
묻히다,3
물결,3
물기,3
물리치다,3
뭐,3
미국,3
미래,3
미루다,3
미지근하다,3
밑줄,3
박물관,3
반대,3
반대편,3
반듯하다,3
받다,3
발표,3
밝히다,3
방송,3
베짱이,3
변하다,3
보름달,3
보통,3
보호,3
복사,3
부분,3
부분,3
부스러기,3
부족하다,3
부족하다,3
부탁하다,3
불가사리,3
불편하다,3
비늘,3
비행사,3
빛깔,3
뻗다,3
뿌듯하다,3
사라지다,3
사막,3
사용,3
사용하다,3
산책하다,3
상상,3
상상하다,3
상황,3
새롭다,3
생명,3
생활,3
서다,3
선택,3
설명하다,3
섬,3
성공하다,3
성큼,3
세상,3
세우다,3
소개,3
속,3
속마음,3
속삭이다,3
속상하다,3
속이다,3
손목시계,3
손수레,3
솔직하다,3
술,3
습관,3
신,3
신문,3
신호,3
실감,3
실망하다,3
실천,3
심판,3
심하다,3
쑥스럽다,3
쓰이다,3
아깝다,3
아쉽다,3
안내하다,3
알림,3
애벌레,3
얄밉다,3
어느,3
어마어마하다,3
어울리다,3
어울리다,3
어쩐지,3
억울하다,3
억지로,3
언덕,3
언제나,3
얻다,3
엉키다,3
엎지르다,3
역할,3
역할,3
역할극,3
연결하다,3
연기,3
연락,3
연주하다,3
영상,3
영어,3
예,3
오랜,3
온라인,3
완성하다,3
외계인,3
외국,3
요리조리,3
요즘,3
용기,3
용서,3
우뚝,3
우주,3
울타리,3
원래,3
원하다,3
위로,3
음악,3
이런,3
이삿짐,3
이야깃거리,3
이어지다,3
이용하다,3
이해,3
이해하다,3
인터넷,3
잃다,3
임,3
입맛,3
자랑스럽다,3
자물쇠,3
자석,3
자세하다,3
자세히,3
자신감,3
자연,3
자주,3
작년,3
작품,3
잔칫집,3
잘되다,3
잘못되다,3
잠꼬대,3
장바구니,3
장사,3
장소,3
장애,3
장점,3
재동,3
재료,3
재빠르다,3
재빨리,3
저,3
전,3
전기,3
전체,3
전하,3
전학,3
점점,3
정,3
정류장,3
정리,3
정성,3
정확하다,3
정확히,3
제,3
제대로,3
좀,3
종류,3
주변,3
주요,3
주의,3
죽음,3
줄,3
중심,3
즐기다,3
지구,3
지내다,3
지도,3
지저분하다,3
직업,3
직접,3
질기다,3
질서,3
짐작,3
집안일,3
집중하다,3
짓다,3
찌푸리다,3
찡긋,3
차다,3
창가,3
창고,3
찾아오다,3
책갈피,3
천국,3
청진기,3
체육,3
체육관,3
축제,3
출근,3
태도,3
태양,3
테두리,3
투명,3
투명하다,3
튀어나오다,3
특별히,3
펼치다,3
평소,3
표지판,3
피구,3
피노키오,3
피부색,3
피하다,3
피해,3
하룻밤,3
하인,3
학급,3
학습,3
한마디,3
한숨,3
함,3
함부로,3
해결하다,3
허락하다,3
협동,3
혼잣말,3
화면,3
확인하다,3
훌륭하다,3
훨씬,3
흩어지다,3
희망,3
힘쓰다,3
힘없이,3
가로수,4
가엾다,4
간,4
간직하다,4
감,4
감각,4
감상문,4
감상하다,4
값싸다,4
갯벌,4
갸우뚱하다,4
거의,4
거절하다,4
걸다,4
검색,4
결과,4
결과,4
결심하다,4
결정,4
겸손하다,4
경우,4
곡선,4
곰곰이,4
공손하다,4
공통점,4
과정,4
과제,4
관,4
관광객,4
관광지,4
괴로워하다,4
구경거리,4
구별하다,4
국어사전,4
군대,4
귀하다,4
균형,4
그렇게,4
그리움,4
긁적이다,4
금세,4
금지하다,4
기념하다,4
기대감,4
기록,4
기록하다,4
기르다,4
기온,4
기준,4
긴장되다,4
길목,4
깨닫다,4
꼿꼿이,4
꾸지람,4
꿰다,4
끔찍하다,4
나가다,4
나그네,4
나누기,4
나리,4
나서다,4
넉넉하다,4
높이다,4
누리집,4
다락방,4
다양하다,4
단계,4
단순히,4
단점,4
당황하다,4
대부분,4
대사,4
대상,4
대표,4
대하다,4
대해,4
댓글,4
더듬거리다,4
도덕,4
독특하다,4
돈벌이,4
동아리,4
뒤처지다,4
드나들다,4
들어오다,4
등장인물,4
따분하다,4
따위,4
땔감,4
뚜렷하다,4
로,4
마음먹다,4
만복,4
말다,4
맞은편,4
맨,4
머물다,4
목덜미,4
목표,4
몹시,4
무,4
무료,4
문단,4
문제점,4
민화,4
반딧불,4
발명하다,4
방문하다,4
배낭,4
번데기,4
범수,4
베,4
베풀다,4
변화,4
복잡하다,4
본받다,4
볼거리,4
부,4
부풀리다,4
분명하다,4
불가능하다,4
불만,4
뻔뻔하다,4
뿔뿔이,4
삐뚤어지다,4
사실,4
사회,4
살,4
살아가다,4
살포시,4
삶,4
상관없다,4
상대,4
상대,4
상쾌하다,4
생기다,4
생물,4
생생하다,4
생활용품,4
서럽다,4
석주명,4
섭섭하다,4
성격,4
성실하다,4
세계,4
소감,4
소망,4
수도,4
쉼터,4
습,4
시리다,4
신선하다,4
실,4
실천하다,4
실험,4
실험,4
심술,4
안녕하다,4
안타깝다,4
어긋나다,4
엉뚱하다,4
여전히,4
역사,4
역사책,4
영롱,4
예상하다,4
오염,4
오해하다,4
오행시,4
온,4
온도,4
옳다,4
외국어,4
외양간,4
욕설,4
원인,4
위기,4
위로하다,4
위치,4
유행하다,4
의견,4
의심,4
의심하다,4
이끌다,4
이렇게,4
이튿날,4
익숙하다,4
익히다,4
인내심,4
인상,4
일꾼,4
일상생활,4
자막,4
잡지,4
장승,4
재활용품,4
적극적,4
적당하다,4
적응하다,4
전시하다,4
전하다,4
전혀,4
정보,4
정성껏,4
제품,4
조건,4
조사하다,4
존중하다,4
죄,4
주의하다,4
주제,4
줄기,4
중요성,4
증거,4
지나치다,4
지렁이,4
지폐,4
지휘자,4
직선,4
진실,4
진실하다,4
진심,4
진지하다,4
질투,4
짐작하다,4
집중력,4
짜다,4
차림새,4
차이점,4
찬,4
찬성하다,4
참,4
참가하다,4
창의적,4
책임,4
처리하다,4
체험,4
촬영,4
최초,4
추다,4
추천하다,4
충격적,4
치다,4
탄생,4
태풍,4
토라지다,4
투표,4
특별하다,4
특이하다,4
파괴되다,4
파괴하다,4
퍼뜨리다,4
펼쳐지다,4
평생,4
평화롭다,4
포기하다,4
표지,4
표지,4
표현하다,4
풍성하다,4
핑계,4
한,4
한바탕,4
